#online:false
#name:UTF-8 Unicode 1.1,UTF-16LE Unicode 1.1,UTF-16BE Unicode 1.1
#id:utf-8@unicode1_1,utf-16le@unicode1_1,utf-16be@unicode1_1
#type:bin
#pattern:
#base:
#description:Unicode 1.1
01-2121	3000
01-2122	FF0C
01-2123	3001
01-2124	3002
01-2125	FF0E
01-2127	FF1B
01-2128	FF1A
01-2129	FF1F
01-212A	FF01
01-212B	FE30
01-212C	2026
01-212D	2025
01-212E	FE50
01-212F	FE51
01-2130	FE52
01-2131	00B7
01-2132	FE54
01-2133	FE55
01-2134	FE56
01-2135	FE57
01-2136	FF5C
01-2138	FE31
01-2139	2014
01-213E	FF08
01-213F	FF09
01-2140	FE35
01-2141	FE36
01-2142	FF5B
01-2143	FF5D
01-2144	FE37
01-2145	FE38
01-2146	3014
01-2147	3015
01-2148	FE39
01-2149	FE3A
01-214A	3010
01-214B	3011
01-214C	FE3B
01-214D	FE3C
01-214E	300A
01-214F	300B
01-2150	FE3D
01-2151	FE3E
01-2152	3008
01-2153	3009
01-2154	FE3F
01-2155	FE40
01-2156	300C
01-2157	300D
01-2158	FE41
01-2159	FE42
01-215A	300E
01-215B	300F
01-215C	FE43
01-215D	FE44
01-215E	FE59
01-215F	FE5A
01-2160	FE5B
01-2161	FE5C
01-2162	FE5D
01-2163	FE5E
01-2164	2018
01-2165	2019
01-2166	201C
01-2167	201D
01-2168	301D
01-2169	301E
01-216A	2035
01-216B	2032
01-216C	FF03
01-216D	FF06
01-216E	FF0A
01-216F	203B
01-2170	00A7
01-2171	3003
01-2172	25CB
01-2173	25CF
01-2174	25B3
01-2175	25B2
01-2176	25CE
01-2177	2606
01-2178	2605
01-2179	25C7
01-217A	25C6
01-217B	25A1
01-217C	25A0
01-217D	25BD
01-217E	25BC
01-2221	32A3
01-2222	2105
01-2223	203E
01-2225	FF3F
01-2227	FE49
01-2228	FE4A
01-2229	FE4D
01-222A	FE4E
01-222B	FE4B
01-222C	FE4C
01-222D	FE5F
01-222E	FE60
01-222F	FE61
01-2230	FF0B
01-2231	FF0D
01-2232	00D7
01-2233	00F7
01-2234	00B1
01-2235	221A
01-2236	FF1C
01-2237	FF1E
01-2238	FF1D
01-2239	2266
01-223A	2267
01-223B	2260
01-223C	221E
01-223D	2252
01-223E	2261
01-223F	FE62
01-2240	FE63
01-2241	FE64
01-2242	FE65
01-2243	FE66
01-2245	2229
01-2246	222A
01-2247	22A5
01-2248	2220
01-2249	221F
01-224A	22BF
01-224B	33D2
01-224C	33D1
01-224D	222B
01-224E	222E
01-224F	2235
01-2250	2234
01-2251	2640
01-2252	2642
01-2255	2191
01-2256	2193
01-2257	2190
01-2258	2192
01-2259	2196
01-225A	2197
01-225B	2199
01-225C	2198
01-225F	FF0F
01-2260	FF3C
01-2261	2215
01-2262	FE68
01-2263	FF04
01-2264	FFE5
01-2265	3012
01-2266	FFE0
01-2267	FFE1
01-2268	FF05
01-2269	FF20
01-226A	2103
01-226B	2109
01-226C	FE69
01-226D	FE6A
01-226E	FE6B
01-226F	33D5
01-2270	339C
01-2271	339D
01-2272	339E
01-2273	33CE
01-2274	33A1
01-2275	338E
01-2276	338F
01-2277	33C4
01-2278	00B0
01-2279	5159
01-227A	515B
01-227B	515E
01-227C	515D
01-227D	5161
01-227E	5163
01-2321	55E7
01-2322	74E9
01-2323	7CCE
01-2324	2581
01-2325	2582
01-2326	2583
01-2327	2584
01-2328	2585
01-2329	2586
01-232A	2587
01-232B	2588
01-232C	258F
01-232D	258E
01-232E	258D
01-232F	258C
01-2330	258B
01-2331	258A
01-2332	2589
01-2333	253C
01-2334	2534
01-2335	252C
01-2336	2524
01-2337	251C
01-2338	2594
01-2339	2500
01-233A	2502
01-233B	2595
01-233C	250C
01-233D	2510
01-233E	2514
01-233F	2518
01-2340	256D
01-2341	256E
01-2342	2570
01-2343	256F
01-2344	2550
01-2345	255E
01-2346	256A
01-2347	2561
01-2348	25E2
01-2349	25E3
01-234A	25E5
01-234B	25E4
01-234C	2571
01-234D	2572
01-234E	2573
01-2421	FF10
01-2422	FF11
01-2423	FF12
01-2424	FF13
01-2425	FF14
01-2426	FF15
01-2427	FF16
01-2428	FF17
01-2429	FF18
01-242A	FF19
01-242B	2160
01-242C	2161
01-242D	2162
01-242E	2163
01-242F	2164
01-2430	2165
01-2431	2166
01-2432	2167
01-2433	2168
01-2434	2169
01-2435	3021
01-2436	3022
01-2437	3023
01-2438	3024
01-2439	3025
01-243A	3026
01-243B	3027
01-243C	3028
01-243D	3029
01-2441	FF21
01-2442	FF22
01-2443	FF23
01-2444	FF24
01-2445	FF25
01-2446	FF26
01-2447	FF27
01-2448	FF28
01-2449	FF29
01-244A	FF2A
01-244B	FF2B
01-244C	FF2C
01-244D	FF2D
01-244E	FF2E
01-244F	FF2F
01-2450	FF30
01-2451	FF31
01-2452	FF32
01-2453	FF33
01-2454	FF34
01-2455	FF35
01-2456	FF36
01-2457	FF37
01-2458	FF38
01-2459	FF39
01-245A	FF3A
01-245B	FF41
01-245C	FF42
01-245D	FF43
01-245E	FF44
01-245F	FF45
01-2460	FF46
01-2461	FF47
01-2462	FF48
01-2463	FF49
01-2464	FF4A
01-2465	FF4B
01-2466	FF4C
01-2467	FF4D
01-2468	FF4E
01-2469	FF4F
01-246A	FF50
01-246B	FF51
01-246C	FF52
01-246D	FF53
01-246E	FF54
01-246F	FF55
01-2470	FF56
01-2471	FF57
01-2472	FF58
01-2473	FF59
01-2474	FF5A
01-2475	0391
01-2476	0392
01-2477	0393
01-2478	0394
01-2479	0395
01-247A	0396
01-247B	0397
01-247C	0398
01-247D	0399
01-247E	039A
01-2521	039B
01-2522	039C
01-2523	039D
01-2524	039E
01-2525	039F
01-2526	03A0
01-2527	03A1
01-2528	03A3
01-2529	03A4
01-252A	03A5
01-252B	03A6
01-252C	03A7
01-252D	03A8
01-252E	03A9
01-252F	03B1
01-2530	03B2
01-2531	03B3
01-2532	03B4
01-2533	03B5
01-2534	03B6
01-2535	03B7
01-2536	03B8
01-2537	03B9
01-2538	03BA
01-2539	03BB
01-253A	03BC
01-253B	03BD
01-253C	03BE
01-253D	03BF
01-253E	03C0
01-253F	03C1
01-2540	03C3
01-2541	03C4
01-2542	03C5
01-2543	03C6
01-2544	03C7
01-2545	03C8
01-2546	03C9
01-2547	3105
01-2548	3106
01-2549	3107
01-254A	3108
01-254B	3109
01-254C	310A
01-254D	310B
01-254E	310C
01-254F	310D
01-2550	310E
01-2551	310F
01-2552	3110
01-2553	3111
01-2554	3112
01-2555	3113
01-2556	3114
01-2557	3115
01-2558	3116
