#online:true
#name:UTF-8 Unicode 2.0,UTF-16LE Unicode 2.0,UTF-16BE Unicode 2.0
#id:utf-8@unicode2_0,utf-16le@unicode2_0,utf-16be@unicode2_0
#type:bin
#pattern:
#base:unicode1_1
#description:為美國跨國公司UnicodeConsortium所提出的業界標準，並於1997年7月公布Unicode2.0版本，包含6,811個符號及20,914個漢字等，適用於Windows2000／XP／2003等以上作業系統。
01-4244	F91D1
01-4245	F91D2
01-4246	F91D3
01-4247	F91D4
01-4248	F91D5
01-4249	F91D6
01-424A	F91D7
01-424B	F91D8
01-424C	F91D9
01-424D	F91DA
01-424E	F91DB
01-424F	F91DC
01-4250	F91DD
01-4251	F91DE
01-4252	F91DF
01-4253	F91E0
01-4254	F91F7
03-6168	FFF79
04-225B	FFF7A
04-2361	FFFFD
04-276A	FFFFC
04-2827	FFFFB
04-287D	FFFFA
04-2A6E	FFFF9
04-3042	FFFF8
04-385C	FFFF7
04-4458	FFFF6
04-533C	FFF7B
04-6339	FFFF5
04-655F	FFFF4
05-234B	FFFF3
05-756C	FFFF2
06-2A21	FFFF1
06-5C2F	FFFF0
07-4159	FFFEF
08-2D63	0591
08-2D64	0592
08-2D65	0593
08-2D66	0594
08-2D67	0595
08-2D68	0596
08-2D69	0597
08-2D6A	0598
08-2D6B	0599
08-2D6C	059A
08-2D6D	059B
08-2D6E	059C
08-2D6F	059D
08-2D70	059E
08-2D71	059F
08-2D72	05A0
08-2D73	05A1
08-2D74	05A3
08-2D75	05A4
08-2D76	05A5
08-2D77	05A6
08-2D78	05A7
08-2D79	05A8
08-2D7A	05A9
08-2D7B	05AA
08-2D7C	05AB
08-2D7D	05AC
08-2D7E	05AD
08-2E21	05AE
08-2E22	05AF
08-2E36	05C4
08-3C66	0F00
08-3C67	0F01
08-3C68	0F02
08-3C69	0F03
08-3C6A	0F04
08-3C6B	0F05
08-3C6C	0F06
08-3C6D	0F07
08-3C6E	0F08
08-3C6F	0F09
08-3C70	0F0A
08-3C71	0F0B
08-3C72	0F0C
08-3C73	0F0D
08-3C74	0F0E
08-3C75	0F0F
08-3C76	0F10
08-3C77	0F11
08-3C78	0F12
08-3C79	0F13
08-3C7A	0F14
08-3C7B	0F15
08-3C7C	0F16
08-3C7D	0F17
08-3C7E	0F18
08-3D21	0F19
08-3D22	0F1A
08-3D23	0F1B
08-3D24	0F1C
08-3D25	0F1D
08-3D26	0F1E
08-3D27	0F1F
08-3D28	0F20
08-3D29	0F21
08-3D2A	0F22
08-3D2B	0F23
08-3D2C	0F24
08-3D2D	0F25
08-3D2E	0F26
08-3D2F	0F27
08-3D30	0F28
08-3D31	0F29
08-3D32	0F2A
08-3D33	0F2B
08-3D34	0F2C
08-3D35	0F2D
08-3D36	0F2E
08-3D37	0F2F
08-3D38	0F30
08-3D39	0F31
08-3D3A	0F32
08-3D3B	0F33
08-3D3C	0F34
08-3D3D	0F35
08-3D3E	0F36
08-3D3F	0F37
08-3D40	0F38
08-3D41	0F39
08-3D42	0F3A
08-3D43	0F3B
08-3D44	0F3C
08-3D45	0F3D
08-3D46	0F3E
08-3D47	0F3F
08-3D48	0F40
08-3D49	0F41
08-3D4A	0F42
08-3D4B	0F43
08-3D4C	0F44
08-3D4D	0F45
08-3D4E	0F46
08-3D4F	0F47
08-3D50	0F49
