#online:true
#name:UTF-8 Unicode 3.0,UTF-16LE Unicode 3.0,UTF-16BE Unicode 3.0
#id:utf-8@unicode3_0,utf-16le@unicode3_0,utf-16be@unicode3_0
#type:bin
#pattern:
#base:unicode2_1
#description:為美國跨國公司Unicode Consortium所提出的業界標準，並於2000年公布 Unicode3.0版本，新增擴展A集(Extension A)共6,582個漢字，達27,496個漢字，適用於Windows2000／XP／2003等以上作業系統。
01-2721	2F00
01-2722	2F01
01-2723	2F02
01-2724	2F03
01-2725	2F04
01-2726	2F05
01-2727	2F06
01-2729	2F08
01-272A	2F09
01-272B	2F0A
01-272C	2F0B
01-272D	2F0C
01-272E	2F0D
01-2730	2F0F
01-2731	2F10
01-2732	2F11
01-2733	2F12
01-2735	2F14
01-2736	2F15
01-2737	2F16
01-2738	2F17
01-2739	2F18
01-273A	2F19
01-273B	2F1A
01-273C	2F1B
01-273D	2F1C
01-273E	2F1D
01-273F	2F1E
01-2740	2F1F
01-2741	2F20
01-2743	2F23
01-2744	2F24
01-2745	2F25
01-2746	2F26
01-2747	2F27
01-2748	2F28
01-2749	2F29
01-274A	2F2A
01-274B	2F2B
01-274C	2F2C
01-274D	2F2D
01-274E	2F2E
01-274F	2F2F
01-2750	2F30
01-2751	2F31
01-2752	2F32
01-2753	2F33
01-2754	2F34
01-2755	2F35
01-2756	2F36
01-2757	2F37
01-2758	2F38
01-2759	2F39
01-275A	2F3A
01-275B	2F3B
01-275C	2F3C
01-275D	2F3D
01-275E	2F3E
01-275F	2F3F
01-2760	2F40
01-2761	2F41
01-2762	2F42
01-2763	2F43
01-2764	2F44
01-2765	2F45
01-2766	2F46
01-2767	2F47
01-2768	2F48
01-2769	2F49
01-276A	2F4A
01-276B	2F4B
01-276C	2F4C
01-276D	2F4D
01-276E	2F4E
01-276F	2F4F
01-2770	2F50
01-2771	2F51
01-2772	2F52
01-2773	2F53
01-2774	2F54
01-2775	2F55
01-2776	2F56
01-2777	2F57
01-2778	2F58
01-2779	2F59
01-277A	2F5A
01-277B	2F5B
01-277C	2F5C
01-277D	2F5D
01-277E	2F5E
01-2821	2F5F
01-2822	2F60
01-2823	2F61
01-2824	2F62
01-2825	2F63
01-2826	2F64
01-2827	2F65
01-2828	2F66
01-2829	2F67
01-282A	2F68
01-282B	2F69
01-282C	2F6A
01-282D	2F6B
01-282E	2F6C
01-282F	2F6D
01-2830	2F6E
01-2831	2F6F
01-2832	2F70
01-2833	2F71
01-2834	2F72
01-2835	2F73
01-2836	2F74
01-2837	2F75
01-2838	2F76
01-2839	2F77
01-283A	2F78
01-283B	2F79
01-283C	2F7A
01-283D	2F7B
01-283E	2F7C
01-283F	2F7D
01-2840	2F7E
01-2841	2F7F
01-2842	2F80
01-2843	2F81
01-2844	2F82
01-2845	2F83
01-2846	2F84
01-2847	2F85
01-2848	2F86
01-2849	2F87
01-284A	2F88
01-284B	2F89
01-284C	2F8A
01-284D	2F8B
01-284E	2F8C
01-284F	2F8D
01-2850	2F8E
01-2851	2F8F
01-2852	2F90
01-2853	2F91
01-2854	2F92
01-2855	2F93
01-2856	2F94
01-2857	2F95
01-2858	2F96
01-2859	2F97
01-285A	2F98
01-285B	2F99
01-285C	2F9A
01-285D	2F9B
01-285E	2F9C
01-285F	2F9D
01-2860	2F9E
01-2861	2F9F
01-2862	2FA0
01-2863	2FA1
01-2864	2FA2
01-2865	2FA3
01-2866	2FA4
01-2867	2FA5
01-2868	2FA6
01-2869	2FA7
01-286A	2FA8
01-286B	2FA9
01-286C	2FAA
01-286D	2FAB
01-286E	2FAC
01-286F	2FAD
01-2870	2FAE
01-2871	2FAF
01-2872	2FB0
01-2873	2FB1
01-2874	2FB2
01-2875	2FB3
01-2876	2FB4
01-2877	2FB5
01-2878	2FB6
01-2879	2FB7
01-287A	2FB8
01-287B	2FB9
01-287C	2FBA
01-287D	2FBB
01-287E	2FBC
01-2921	2FBD
01-2922	2FBE
01-2923	2FBF
01-2924	2FC0
01-2925	2FC1
01-2926	2FC2
01-2927	2FC3
01-2928	2FC4
01-2929	2FC5
01-292A	2FC6
01-292B	2FC7
01-292C	2FC8
01-292D	2FC9
01-292E	2FCA
01-292F	2FCB
01-2930	2FCC
01-2931	2FCD
01-2932	2FCE
01-2933	2FCF
01-2934	2FD0
01-2935	2FD1
01-2936	2FD2
01-2937	2FD3
01-2938	2FD4
01-2939	2FD5
01-293A	31A0
01-293B	31A1
01-293C	31A2
01-293D	31A3
01-293E	31A4
01-293F	31A5
01-2940	31A6
01-2941	31A7
01-2942	31A8
01-2943	31A9
01-2944	31AA
01-2945	31AB
01-2946	31AC
01-2947	31AD
01-2948	31AE
01-2949	31AF
01-294A	31B0
01-294B	31B1
01-294C	31B2
01-294D	31B3
01-294E	31B4
01-294F	31B5
01-2950	31B6
01-2951	31B7
03-2150	34C5
03-2158	3539
03-215D	3555
03-215F	355B
03-2162	37A2
03-216A	3E26
03-216E	3432
03-2171	3433
03-2173	3434
03-2174	36A2
03-2175	3431
03-2176	34B0
03-217E	34DC
03-2221	361E
03-222C	3565
03-2230	3564
03-2232	361D
03-2233	3626
03-223A	368E
03-223C	374A
03-2240	378B
03-2241	37A6
03-2242	37A4
03-2243	37A5
03-2244	37A7
03-2245	382F
03-2246	3832
03-224B	38D4
03-224F	39C5
03-2255	3CBA
03-2256	3CB9
03-225F	48B3
03-2260	49BA
03-2269	343B
03-226A	343C
03-2271	3439
03-2279	34B2
03-2321	34C7
03-2323	342B
03-232C	353B
03-232E	3544
03-2330	3542
03-2332	355C
03-2336	3567
03-2338	3566
03-233D	361F
03-2346	368F
03-2348	3690
03-2349	36A8
03-234A	36A4
03-234C	36A3
03-234E	373D
03-234F	374C
03-2353	378C
03-2356	37A8
03-2357	37AD
03-2358	37AF
03-235B	3829
03-235D	3836
03-235E	3871
03-235F	3870
03-2360	386F
03-2363	38A9
03-2364	38AA
03-2365	38FB
03-2368	38FC
03-236A	39AE
03-2371	3AC3
03-2374	3B30
03-2376	3B41
03-237B	3C8C
03-2422	3CBB
03-242A	3DA1
03-242E	3EA8
03-2430	3EAA
03-2431	3EAB
03-2432	4096
03-2434	41C2
03-2437	4493
03-2439	4494
03-243E	49BB
03-2447	3443
03-244A	3442
03-244D	3444
03-2455	34B3
03-2456	34B7
03-2458	34C8
03-2464	3518
03-2468	3547
03-2469	3546
03-246A	3545
03-246B	356B
03-246C	3569
03-246E	3572
03-246F	3571
03-2471	356C
03-2472	356F
03-247A	3573
03-2525	3576
03-252E	3627
03-2534	3630
03-2539	3629
03-253A	362A
03-253B	362F
03-253D	362C
03-253F	362D
03-254A	3693
03-254D	36AD
03-254F	36AC
03-2550	36AB
03-2552	36A9
03-2554	36AE
