#online:true
#name:UTF-8 Unicode 3.1,UTF-16LE Unicode 3.1,UTF-16BE Unicode 3.1
#id:utf-8@unicode3_1,utf-16le@unicode3_1,utf-16be@unicode3_1
#type:bin
#pattern:
#base:unicode3_0
#description:為美國跨國公司Unicode Consortium所提出的業界標準，並於2001年3月公布 Unicode 3.1版本，將康熙字典、漢語大字典等近代重要字書所載的字全部收錄擴展B集 (Extension B) 共42,711個漢字，達70,207個漢字，適用於WindowsVista／7等以上作業系統。
03-2144	2000B
03-214F	2F817
03-216F	201A9
03-217C	2F850
03-2225	2F82A
03-227B	2F815
03-2329	2F82C
03-233C	2F83B
03-2359	21D46
03-2424	23C86
03-2429	2F835
03-2441	2F81B
03-2452	2F80E
03-257E	225D7
03-2627	2F8B2
03-272A	2F98F
03-274E	20209
03-2753	2F80F
03-2754	2F811
03-275C	206EC
03-2A39	2233F
03-2A45	2592E
03-2C40	2F87A
03-2C51	2F899
03-2D35	2F8DF
03-2D52	2F8FE
03-2E56	2F96A
03-2E5A	25133
03-3023	2F841
03-3053	2172E
03-315C	2F8E1
03-3350	2F983
03-3460	20DAE
03-3470	2F855
03-347E	21637
03-355F	2F88D
03-3565	2F89C
03-3628	2F8BA
03-3640	2F8CB
03-3675	2F907
03-3977	20564
03-3A26	2F833
03-3A4F	21364
03-3C3A	2F8E5
03-3D3F	2F934
03-3F6D	28CDD
03-4043	2F823
03-407E	2F87E
03-416E	2F8E8
03-4333	2F94E
03-4425	2F98D
03-446D	2F9DB
03-4670	2F8A6
03-4731	230BA
03-474B	235F3
03-4826	24A0F
03-486A	2F96C
03-5039	20B89
03-5460	2F8AF
03-553A	24039
03-5545	2F921
03-5678	2F9F5
03-5736	29937
03-584F	25CD1
03-5863	265DF
03-5A33	2F86A
03-5A36	2F870
03-5B26	2F9B6
03-5B2D	2F9C1
03-5C2F	2FA19
03-607C	2F9D6
04-2121	20086
04-2125	21FE8
04-2128	2010E
04-2129	20627
04-212D	2053C
04-212E	20675
04-212F	2F828
04-2133	2193C
04-2134	2F875
04-2135	2F878
04-213F	2F819
04-2140	206A5
04-2141	206AA
04-2142	2090F
04-2143	20A0E
04-2146	20B9C
04-2147	20B9B
04-2148	2123C
04-214A	21BC2
04-214E	233B4
04-2156	20065
04-2158	201B2
04-215C	20477
04-215D	20542
04-215F	20633
04-2162	206AF
04-2163	20836
04-2168	20B22
04-216E	211A3
04-2174	21C25
04-2175	21C24
04-2177	22052
04-2178	22189
04-2179	224BF
04-217D	233B5
04-217E	2574C
04-2222	28E14
04-2223	28E12
04-2225	200A3
04-2226	200A2
04-2229	201B6
04-222B	201B5
04-222C	201B4
04-222F	201C2
04-2230	201B8
04-2232	20479
04-2235	20508
04-2237	2057A
04-2238	205B6
04-2239	206BD
04-223A	206B7
04-223B	206BC
04-223D	206C4
04-223E	206C9
04-2243	20930
04-2244	20983
04-2245	20985
04-2246	20A12
04-2247	20A34
04-2249	20AE4
04-224A	20ADE
04-224B	20B2A
04-224D	20BAF
04-224E	20BB4
04-224F	20BB3
04-2250	20BB1
04-2254	215DE
04-2257	216B8
04-2258	216B0
04-225A	219C2
04-225E	21C2A
04-2262	21FE9
04-2264	22057
04-2267	221B6
04-2268	221D7
04-2269	221DE
04-226E	224C2
04-226F	225AB
04-2272	2298F
04-2276	22A6D
04-2277	22EB5
04-227A	233C0
04-227B	233BF
04-227D	239B9
04-227E	23B1C
04-2323	23C80
04-2324	24184
04-2325	24185
04-2328	24724
04-232C	2634C
04-232E	26AF6
04-2331	28670
04-2333	28675
04-2334	28E17
04-2338	201F1
04-233A	201DA
04-233C	205B9
04-2341	206CE
04-2342	206D2
04-2343	206D0
04-2345	20843
04-2349	2084D
04-234A	20934
04-234C	209D9
04-234E	20A18
04-2350	20B38
04-2352	20BD7
04-2355	20BDC
04-2356	20BCB
04-2357	20BD6
04-2358	20BD8
04-235A	20BD1
04-235B	2F83E
04-235C	2F83C
04-235D	20BD2
04-2360	21259
04-2363	215E5
04-2364	215E6
04-2366	215E8
04-2368	216BD
04-236B	216BE
04-236C	21949
04-236E	219CD
04-2372	21B5E
04-2373	21BD0
04-2375	21D06
04-237C	21D7C
04-237D	21D71
04-237E	21FEF
04-2426	2218D
04-2427	221B7
04-242A	22333
04-242B	2237F
04-242D	225F2
04-2434	22A2A
04-2435	22A8B
04-2437	22A83
04-2438	22A8A
04-243B	22A8E
04-243D	22EB6
04-2442	230D8
04-2444	23156
04-2445	233D2
04-2447	2F8DB
04-2449	233C2
04-244A	23887
04-244B	23881
04-244C	239C2
04-244D	239BC
04-244E	23B23
04-2450	23C93
04-2453	2418D
04-2454	2418E
04-2457	2473B
04-2458	2474D
04-245A	24734
04-245B	24731
04-245C	248F2
04-245D	248F0
04-245F	24C15
04-2460	24D28
04-2463	24F25
04-2464	250E7
04-2466	250E9
04-2467	25417
04-246A	2626C
04-246B	26280
04-246C	2634B
04-2471	268DE
04-2472	268FB
04-2474	26951
04-2477	26B01
04-2478	26B02
04-247A	26B05
04-247C	26B03
04-247E	28451
04-2524	28453
04-2525	2867A
04-2526	28678
04-2527	28676
04-2528	28679
04-2529	2868F
04-252A	2867C
04-252C	28E1B
04-252D	28E1C
04-252F	23D92
04-2532	2012E
04-2533	2012C
04-2535	2020C
04-2537	2020B
04-253A	20205
04-253D	2F805
04-2541	205C2
04-2542	205C3
04-2544	20648
04-2546	20646
04-2549	206EA
04-254B	206EB
04-254D	206EE
04-2552	208D8
04-2553	24C1E
04-2554	209DF
04-2555	209DE
04-2558	20A4F
04-255B	20C0D
04-255C	20C08
04-255E	20C09
04-2561	20C12
04-2562	20C65
04-2567	21289
04-256A	21284
04-256B	2129E
04-256C	2128B
04-256F	21562
04-2574	215F9
04-2576	215F7
04-2579	21606
04-257A	216DD
04-257C	216D9
04-257D	216DF
04-257E	216E2
04-2624	200F1
04-262B	21C3F
04-262C	21C3E
04-262D	21D0B
04-2630	21D83
04-2633	21D86
04-2635	2207C
04-2639	221F7
04-263E	221FB
04-263F	2233B
04-2644	225F9
04-2645	225CA
04-2647	225FF
04-264A	22609
04-264B	22603
04-2651	22610
04-2652	2299A
04-2653	2299F
04-2657	22A87
04-265A	22EB7
04-265C	22F08
04-265D	22EF9
04-2660	22EF4
04-2664	26657
04-2666	233D6
04-2668	2F8DE
04-266B	233D4
04-266E	23890
04-266F	2388D
04-2672	23960
04-2673	239CE
04-2674	239CF
04-2677	239D1
04-267C	23CCA
04-2721	23CB7
04-2723	23CB2
04-2724	23CBB
04-2725	23CB9
04-2728	2419E
04-272A	241B2
04-272D	2456F
04-272E	245AC
04-2730	24623
04-2735	2476C
04-2737	24732
04-2738	2475E
04-273C	248FB
04-273D	24B29
04-273E	24BBD
04-273F	24C1F
04-2741	22341
04-2742	24C1D
04-2744	24D31
04-2745	24D2F
04-2747	25043
04-2749	25041
04-274B	250F5
04-2750	250F2
04-2754	2541E
04-2755	25754
04-2757	25756
04-2758	25929
04-2759	25927
04-275A	25928
04-275D	26279
04-275E	2627E
04-275F	264B6
04-2760	264B7
04-2768	2F981
04-276B	2664D
04-2770	26A09
04-2771	26A08
04-2774	26B1E
04-2775	26B1A
04-2776	26B23
04-2777	26B15
04-2778	26B19
04-2779	26B16
04-277C	26B14
04-277D	26B18
04-2822	2721F
04-2823	275DD
04-2824	275DF
04-2825	28469
04-2828	2846C
04-282A	28693
04-282C	28695
04-282D	28694
04-282E	28691
04-282F	28697
04-2830	28E30
04-2834	2FA18
04-2836	20231
04-283B	20236
04-2841	205C9
04-2842	205CA
04-2844	20718
04-2845	20712
04-2846	20719
04-2847	20710
04-2848	20716
04-284A	2085F
04-284C	208DF
04-284D	20917
04-284F	2093C
04-2851	209EA
04-2852	209E9
04-2853	20A1C
04-2854	20A58
04-2855	20A64
04-2856	20AF3
04-2858	20C97
04-285A	20C5A
04-285B	20C59
04-285D	20C8E
04-285F	212BC
04-2862	2160D
04-2863	215FC
04-2864	2160C
04-2865	21707
04-2866	2170A
04-2868	21702
04-286A	21726
04-286B	21708
04-286C	2171D
04-286F	2194E
04-2871	219ED
04-2872	219EE
04-2873	219EF
04-2876	21C50
04-2877	21C4C
04-287A	21C4F
04-287C	21DD4
04-287E	21DB0
04-2926	220A5
04-2927	22209
04-292F	223F3
04-2930	223D7
04-2933	224DC
04-2938	2260B
04-2942	2263A
04-2943	2260D
04-2944	22611
04-2946	22620
04-2947	22601
04-2949	22637
04-294A	2F8A3
04-294C	229AA
04-294F	22AE7
04-2950	22AE8
04-2953	22AF5
04-2957	22B35
04-2958	22AE6
04-295A	22AF8
04-295C	22AF1
04-295E	22F14
04-295F	22F15
04-2960	22F09
04-2966	2317B
04-2968	2317E
04-2969	23366
04-296A	23367
04-296B	2340A
04-2975	2389C
04-2976	23962
04-2977	239E1
04-2978	239DE
04-2979	239DF
04-297A	239E9
04-297C	23CE4
04-297D	23CF7
04-2A22	23CEA
04-2A23	23CF6
