#online:false
#name:UTF-8 Unicode 3.2,UTF-16LE Unicode 3.2,UTF-16BE Unicode 3.2
#id:utf-8@unicode3_2,utf-16le@unicode3_2,utf-16be@unicode3_2
#type:bin
#pattern:
#base:unicode3_1
#description:Unicode 3.2
04-434E	FA3E
08-2624	0220
08-2879	034F
08-292A	0363
08-292B	0364
08-292C	0365
08-292D	0366
08-292E	0367
08-292F	0368
08-2930	0369
08-2931	036A
08-2932	036B
08-2933	036C
08-2934	036D
08-2935	036E
08-2936	036F
08-295B	03D8
08-295C	03D9
08-2979	03F6
08-2B4C	048A
08-2B4D	048B
08-2C29	04C5
08-2C2A	04C6
08-2C2D	04C9
08-2C2E	04CA
08-2C31	04CD
08-2C32	04CE
08-2C5B	0500
08-2C5C	0501
08-2C5D	0502
08-2C5E	0503
08-2C5F	0504
08-2C60	0505
08-2C61	0506
08-2C62	0507
08-2C63	0508
08-2C64	0509
08-2C65	050A
08-2C66	050B
08-2C67	050C
08-2C68	050D
08-2C69	050E
08-2C6A	050F
08-2F4A	066E
08-2F4B	066F
08-3240	07B1
08-404A	10F7
08-404B	10F8
08-4F4D	1700
08-4F4E	1701
08-4F4F	1702
08-4F50	1703
08-4F51	1704
08-4F52	1705
08-4F53	1706
08-4F54	1707
08-4F55	1708
08-4F56	1709
08-4F57	170A
08-4F58	170B
08-4F59	170C
08-4F5A	170E
08-4F5B	170F
08-4F5C	1710
08-4F5D	1711
08-4F5E	1712
08-4F5F	1713
08-4F60	1714
08-4F61	1720
08-4F62	1721
08-4F63	1722
08-4F64	1723
08-4F65	1724
08-4F66	1725
08-4F67	1726
08-4F68	1727
08-4F69	1728
08-4F6A	1729
08-4F6B	172A
08-4F6C	172B
08-4F6D	172C
08-4F6E	172D
08-4F6F	172E
08-4F70	172F
08-4F71	1730
08-4F72	1731
08-4F73	1732
08-4F74	1733
08-4F75	1734
08-4F76	1735
08-4F77	1736
08-4F78	1740
08-4F79	1741
08-4F7A	1742
08-4F7B	1743
08-4F7C	1744
08-4F7D	1745
08-4F7E	1746
08-5021	1747
08-5022	1748
08-5023	1749
08-5024	174A
08-5025	174B
08-5026	174C
08-5027	174D
08-5028	174E
08-5029	174F
08-502A	1750
08-502B	1751
08-502C	1752
08-502D	1753
08-502E	1760
08-502F	1761
08-5030	1762
08-5031	1763
08-5032	1764
08-5033	1765
08-5034	1766
08-5035	1767
08-5036	1768
08-5037	1769
08-5038	176A
08-5039	176B
08-503A	176C
08-503B	176E
08-503C	176F
08-503D	1770
08-503E	1772
08-503F	1773
08-5B4D	2047
08-5B54	204E
08-5B55	204F
08-5B56	2050
08-5B57	2051
08-5B58	2052
08-5B5B	2057
08-5B5C	205F
08-5B5D	2060
08-5B5E	2061
08-5B5F	2062
08-5B60	2063
08-5B68	2071
08-5C35	20B0
08-5C36	20B1
08-5C4B	20E4
08-5C4C	20E5
08-5C4D	20E6
08-5C4E	20E7
08-5C4F	20E8
08-5C50	20E9
08-5C51	20EA
08-5D2D	213D
08-5D2E	213E
08-5D2F	213F
08-5D30	2140
08-5D31	2141
08-5D32	2142
08-5D33	2143
08-5D34	2144
08-5D35	2145
08-5D36	2146
08-5D37	2147
08-5D38	2148
08-5D39	2149
08-5D3A	214A
08-5D3B	214B
08-5E57	21F4
08-5E58	21F5
08-5E59	21F6
08-5E5A	21F7
08-5E5B	21F8
08-5E5C	21F9
08-5E5D	21FA
08-5E5E	21FB
08-5E5F	21FC
08-5E60	21FD
08-5E61	21FE
08-5E62	21FF
08-6128	22F2
08-6129	22F3
08-612A	22F4
08-612B	22F5
08-612C	22F6
08-612D	22F7
08-612E	22F8
08-612F	22F9
08-6130	22FA
08-6131	22FB
08-6132	22FC
08-6133	22FD
08-6134	22FE
08-6135	22FF
08-6254	237C
08-6273	239B
08-6274	239C
08-6275	239D
08-6276	239E
08-6277	239F
08-6278	23A0
08-6279	23A1
08-627A	23A2
08-627B	23A3
08-627C	23A4
08-627D	23A5
08-627E	23A6
08-6321	23A7
08-6322	23A8
08-6323	23A9
08-6324	23AA
08-6325	23AB
08-6326	23AC
08-6327	23AD
08-6328	23AE
08-6329	23AF
08-632A	23B0
08-632B	23B1
08-632C	23B2
08-632D	23B3
08-632E	23B4
08-632F	23B5
08-6330	23B6
08-6331	23B7
08-6332	23B8
08-6333	23B9
08-6334	23BA
08-6335	23BB
08-6336	23BC
08-6337	23BD
08-6338	23BE
08-6339	23BF
08-633A	23C0
08-633B	23C1
08-633C	23C2
08-633D	23C3
08-633E	23C4
08-633F	23C5
08-6340	23C6
08-6341	23C7
08-6342	23C8
08-6343	23C9
08-6344	23CA
08-6345	23CB
08-6346	23CC
08-6347	23CD
08-6348	23CE
08-6474	24EB
08-6475	24EC
08-6476	24ED
08-6477	24EE
08-6478	24EF
08-6479	24F0
08-647A	24F1
08-647B	24F2
08-647C	24F3
08-647D	24F4
08-647E	24F5
08-6521	24F6
08-6522	24F7
08-6523	24F8
08-6524	24F9
08-6525	24FA
08-6526	24FB
08-6527	24FC
08-6528	24FD
08-6529	24FE
08-663C	2596
08-663D	2597
08-663E	2598
08-663F	2599
08-6640	259A
08-6641	259B
08-6642	259C
08-6643	259D
08-6644	259E
08-6645	259F
08-6731	25F8
08-6732	25F9
08-6733	25FA
08-6734	25FB
08-6735	25FC
08-6736	25FD
08-6737	25FE
08-6738	25FF
08-674C	2616
08-674D	2617
08-6846	2672
08-6847	2673
08-6848	2674
08-6849	2675
