#online:false
#name:UTF-8 Unicode 4.0,UTF-16LE Unicode 4.0,UTF-16BE Unicode 4.0
#id:utf-8@unicode4_0,utf-16le@unicode4_0,utf-16be@unicode4_0
#type:bin
#pattern:
#base:unicode3_2
#description:Unicode 4.0
08-2625	0221
08-2638	0234
08-2639	0235
08-263A	0236
08-273B	02AE
08-273C	02AF
08-2777	02EF
08-2778	02F0
08-2779	02F1
08-277A	02F2
08-277B	02F3
08-277C	02F4
08-277D	02F5
08-277E	02F6
08-2821	02F7
08-2822	02F8
08-2823	02F9
08-2824	02FA
08-2825	02FB
08-2826	02FC
08-2827	02FD
08-2828	02FE
08-2829	02FF
08-287A	0350
08-287B	0351
08-287C	0352
08-287D	0353
08-287E	0354
08-2921	0355
08-2922	0356
08-2923	0357
08-2924	035D
08-2925	035E
08-2926	035F
08-297A	03F7
08-297B	03F8
08-297C	03F9
08-297D	03FA
08-297E	03FB
08-2E57	0600
08-2E58	0601
08-2E59	0602
08-2E5A	0603
08-2E5C	060D
08-2E5D	060E
08-2E5E	060F
08-2E5F	0610
08-2E60	0611
08-2E61	0612
08-2E62	0613
08-2E63	0614
08-2E64	0615
08-2F39	0656
08-2F3A	0657
08-2F3B	0658
08-306C	06EE
08-306D	06EF
08-307D	06FF
08-314C	072D
08-314D	072E
08-314E	072F
08-316A	074D
08-316B	074E
08-316C	074F
08-3244	0904
08-337C	09BD
08-3448	0A01
08-344A	0A03
08-3541	0A8C
08-357C	0AE1
08-357D	0AE2
08-357E	0AE3
08-362B	0AF1
08-3658	0B35
08-367C	0B71
08-375C	0BF3
08-375D	0BF4
08-375E	0BF5
08-375F	0BF6
08-3760	0BF7
08-3761	0BF8
08-3762	0BF9
08-3763	0BFA
08-392B	0CBC
08-392C	0CBD
08-513F	17DD
08-514A	17F0
08-514B	17F1
08-514C	17F2
08-514D	17F3
08-514E	17F4
08-514F	17F5
08-5150	17F6
08-5151	17F7
08-5152	17F8
08-5153	17F9
08-5333	1900
08-5334	1901
08-5335	1902
08-5336	1903
08-5337	1904
08-5338	1905
08-5339	1906
08-533A	1907
08-533B	1908
08-533C	1909
08-533D	190A
08-533E	190B
08-533F	190C
08-5340	190D
08-5341	190E
08-5342	190F
08-5343	1910
08-5344	1911
08-5345	1912
08-5346	1913
08-5347	1914
08-5348	1915
08-5349	1916
08-534A	1917
08-534B	1918
08-534C	1919
08-534D	191A
08-534E	191B
08-534F	191C
08-5350	1920
08-5351	1921
08-5352	1922
08-5353	1923
08-5354	1924
08-5355	1925
08-5356	1926
08-5357	1927
08-5358	1928
08-5359	1929
08-535A	192A
08-535B	192B
08-535C	1930
08-535D	1931
08-535E	1932
08-535F	1933
08-5360	1934
08-5361	1935
08-5362	1936
08-5363	1937
08-5364	1938
08-5365	1939
08-5366	193A
08-5367	193B
08-5368	1940
08-5369	1944
08-536A	1945
08-536B	1946
08-536C	1947
08-536D	1948
08-536E	1949
08-536F	194A
08-5370	194B
08-5371	194C
08-5372	194D
08-5373	194E
08-5374	194F
08-5375	1950
08-5376	1951
08-5377	1952
08-5378	1953
08-5379	1954
08-537A	1955
08-537B	1956
08-537C	1957
08-537D	1958
08-537E	1959
08-5421	195A
08-5422	195B
08-5423	195C
08-5424	195D
08-5425	195E
08-5426	195F
08-5427	1960
08-5428	1961
08-5429	1962
08-542A	1963
08-542B	1964
08-542C	1965
08-542D	1966
08-542E	1967
08-542F	1968
08-5430	1969
08-5431	196A
08-5432	196B
08-5433	196C
08-5434	196D
08-5435	1970
08-5436	1971
08-5437	1972
08-5438	1973
08-5439	1974
08-543A	19E0
08-543B	19E1
08-543C	19E2
08-543D	19E3
08-543E	19E4
08-543F	19E5
08-5440	19E6
08-5441	19E7
08-5442	19E8
08-5443	19E9
08-5444	19EA
08-5445	19EB
08-5446	19EC
08-5447	19ED
08-5448	19EE
08-5449	19EF
08-544A	19F0
08-544B	19F1
08-544C	19F2
08-544D	19F3
08-544E	19F4
08-544F	19F5
08-5450	19F6
08-5451	19F7
08-5452	19F8
08-5453	19F9
08-5454	19FA
08-5455	19FB
08-5456	19FC
08-5457	19FD
08-5458	19FE
08-5459	19FF
08-545A	1D00
08-545B	1D01
08-545C	1D02
08-545D	1D03
08-545E	1D04
08-545F	1D05
08-5460	1D06
08-5461	1D07
08-5462	1D08
08-5463	1D09
08-5464	1D0A
08-5465	1D0B
08-5466	1D0C
08-5467	1D0D
08-5468	1D0E
08-5469	1D0F
08-546A	1D10
08-546B	1D11
08-546C	1D12
08-546D	1D13
08-546E	1D14
08-546F	1D15
08-5470	1D16
08-5471	1D17
08-5472	1D18
08-5473	1D19
08-5474	1D1A
08-5475	1D1B
08-5476	1D1C
08-5477	1D1D
08-5478	1D1E
08-5479	1D1F
08-547A	1D20
08-547B	1D21
08-547C	1D22
08-547D	1D23
08-547E	1D24
08-5521	1D25
08-5522	1D26
08-5523	1D27
08-5524	1D28
08-5525	1D29
08-5526	1D2A
08-5527	1D2B
08-5528	1D2C
08-5529	1D2D
08-552A	1D2E
08-552B	1D2F
08-552C	1D30
08-552D	1D31
08-552E	1D32
08-552F	1D33
08-5530	1D34
08-5531	1D35
08-5532	1D36
08-5533	1D37
08-5534	1D38
08-5535	1D39
08-5536	1D3A
08-5537	1D3B
08-5538	1D3C
08-5539	1D3D
08-553A	1D3E
08-553B	1D3F
08-553C	1D40
08-553D	1D41
08-553E	1D42
08-553F	1D43
08-5540	1D44
08-5541	1D45
08-5542	1D46
08-5543	1D47
08-5544	1D48
08-5545	1D49
08-5546	1D4A
08-5547	1D4B
08-5548	1D4C
08-5549	1D4D
08-554A	1D4E
08-554B	1D4F
08-554C	1D50
08-554D	1D51
08-554E	1D52
08-554F	1D53
08-5550	1D54
08-5551	1D55
08-5552	1D56
08-5553	1D57
08-5554	1D58
08-5555	1D59
08-5556	1D5A
08-5557	1D5B
08-5558	1D5C
08-5559	1D5D
08-555A	1D5E
08-555B	1D5F
08-555C	1D60
08-555D	1D61
08-555E	1D62
08-555F	1D63
08-5560	1D64
08-5561	1D65
08-5562	1D66
08-5563	1D67
08-5564	1D68
08-5565	1D69
08-5566	1D6A
08-5567	1D6B
08-5B59	2053
08-5B5A	2054
08-5D2C	213B
08-6349	23CF
08-634A	23D0
08-652A	24FF
08-674A	2614
08-674B	2615
08-685C	268A
08-685D	268B
08-685E	268C
08-685F	268D
08-6860	268E
08-6861	268F
08-6862	2690
08-6863	2691
08-6864	26A0
08-6865	26A1
08-7336	2B00
08-7337	2B01
08-7338	2B02
08-7339	2B03
08-733A	2B04
08-733B	2B05
08-733C	2B06
08-733D	2B07
08-733E	2B08
08-733F	2B09
08-7340	2B0A
08-7341	2B0B
08-7342	2B0C
08-7343	2B0D
08-7670	321D
08-7671	321E
08-7738	3250
08-7764	327C
08-7765	327D
08-7854	32CC
08-7855	32CD
08-7856	32CE
08-7857	32CF
08-7A42	3377
08-7A43	3378
08-7A44	3379
08-7A45	337A
08-7B40	33DE
08-7B41	33DF
08-7B61	33FF
08-7B62	4DC0
08-7B63	4DC1
08-7B64	4DC2
08-7B65	4DC3
08-7B66	4DC4
08-7B67	4DC5
08-7B68	4DC6
08-7B69	4DC7
08-7B6A	4DC8
08-7B6B	4DC9
08-7B6C	4DCA
08-7B6D	4DCB
08-7B6E	4DCC
08-7B6F	4DCD
08-7B70	4DCE
08-7B71	4DCF
08-7B72	4DD0
08-7B73	4DD1
08-7B74	4DD2
08-7B75	4DD3
08-7B76	4DD4
08-7B77	4DD5
08-7B78	4DD6
08-7B79	4DD7
08-7B7A	4DD8
08-7B7B	4DD9
08-7B7C	4DDA
08-7B7D	4DDB
08-7B7E	4DDC
08-7C21	4DDD
08-7C22	4DDE
08-7C23	4DDF
08-7C24	4DE0
08-7C25	4DE1
08-7C26	4DE2
08-7C27	4DE3
08-7C28	4DE4
08-7C29	4DE5
08-7C2A	4DE6
08-7C2B	4DE7
08-7C2C	4DE8
08-7C2D	4DE9
08-7C2E	4DEA
08-7C2F	4DEB
08-7C30	4DEC
08-7C31	4DED
08-7C32	4DEE
08-7C33	4DEF
08-7C34	4DF0
08-7C35	4DF1
08-7C36	4DF2
08-7C37	4DF3
08-7C38	4DF4
08-7C39	4DF5
08-7C3A	4DF6
08-7C3B	4DF7
08-7C3C	4DF8
08-7C3D	4DF9
08-7C3E	4DFA
08-7C3F	4DFB
08-7C40	4DFC
08-7C41	4DFD
08-7C42	4DFE
08-7C43	4DFF
09-323C	FDFD
09-3255	FE47
09-3256	FE48
