#online:true
#name:UTF-8 Unicode 5.2,UTF-16LE Unicode 5.2,UTF-16BE Unicode 5.2
#id:utf-8@unicode5_2,utf-16le@unicode5_2,utf-16be@unicode5_2
#type:bin
#pattern:
#base:unicode5_1
#description:為美國跨國公司Unicode Consortium所提出的業界標準。並於2009年10月公布Unicode 5.2版本，新增擴展C集(Extension C)共4,149字，達74,394個漢字，適用於WindowsVista／7等以上作業系統。
12-2150	2A702
12-2232	2A823
12-225E	2A720
12-2322	2A796
12-2348	2A832
12-237D	2AADD
12-243C	2AF46
12-244C	2A943
12-2454	2A72B
12-2465	2A728
12-2528	2A79A
12-2529	2A799
12-252C	2A798
12-2537	2A797
12-2541	2A7B1
12-2547	2A7BE
12-254C	2A7E9
12-2570	2A8A8
12-2577	2A8B4
12-2579	2A8B5
12-2624	2A9F7
12-2631	2A965
12-263D	2AA22
12-263F	2AA24
12-264B	2AA8A
12-2650	2AAAC
12-265F	2AADE
12-2665	2AB5C
12-266A	2AB5E
12-2674	2A825
12-267D	2B026
12-272D	2AD69
12-272F	2AD6C
12-2736	2AD68
12-2748	2AECD
12-2755	2B1E6
12-275A	2B457
12-276F	2B52D
12-2777	2A733
12-277D	2A72D
12-2826	2A72E
12-283A	2A72C
12-2850	2A78E
12-2858	2A78F
12-285D	2A79C
12-2869	2A79B
12-287D	2A7D8
12-2936	2A7FE
12-293B	2A804
12-2947	2A839
12-2952	2A834
12-296D	2A8BB
12-2970	2A8C0
12-2971	2A8BA
12-2974	2A8C1
12-297E	2A8BE
12-2A22	2A8BF
12-2A29	2A944
12-2A33	2A966
12-2A34	2A967
12-2A3D	2A96B
12-2A3F	2A96C
12-2A44	2A968
12-2A4B	2A790
12-2A52	2A9B9
12-2A56	2A9C5
12-2A57	2A9C6
12-2A67	2AA09
12-2A6B	2AA26
12-2A7C	2AA61
12-2B2C	2AA8C
12-2B50	2AACB
12-2B58	2AADF
12-2B5A	2AAE4
12-2B6C	2AB5F
12-2B75	2AB60
12-2B76	2A9B6
12-2B7E	2ABE0
12-2C26	2AC06
12-2C3A	2AC72
12-2C3F	2AC74
12-2C43	2AC75
12-2C5C	2AD70
12-2C60	2AD6D
12-2C63	2AD6A
12-2C67	2AE0E
12-2C68	2AE10
12-2C71	2AE8D
12-2C76	2AEA9
12-2D3B	2B1E7
12-2D58	2B459
12-2D61	2B53B
12-2E39	2A739
12-2E3F	2A735
12-2E40	2A736
12-2E43	2A738
12-2E47	2A737
12-2E5D	2A77F
12-2E75	2A79E
12-2F2C	2A7C4
12-2F32	2A7C3
12-2F3A	2A7DB
12-2F3F	2A7ED
12-2F5C	2A828
12-2F69	2A836
12-3029	2A8A9
12-3035	2A8C9
12-3038	2A8C3
12-303C	2A8C4
12-3048	2A947
12-304A	2A94C
12-304D	2A948
12-305E	2A70B
12-3066	2A970
12-3069	2A96D
12-3121	2A9C8
12-3129	2AA0C
12-312B	2AA2B
12-312D	2AA2D
12-312F	2AA2A
12-3146	2AA6B
12-3151	2AA8E
12-3155	2AAAE
12-3156	2AAAD
12-316E	2AAE6
12-3224	2AAE0
12-322F	2AB67
12-323A	2AB64
12-3245	2AB68
12-3247	2AB66
12-3248	2AB65
12-3254	2ABE2
12-325D	2ABE1
12-3263	2AC0A
12-326B	2AC08
12-326C	2AC0B
12-326E	2AC09
12-3274	2AC0C
12-3278	2AC0D
12-3279	2AC0E
12-3324	2B196
12-332C	2B197
12-3339	2AC79
12-3343	2AC78
12-335D	2AD58
12-3361	2AD57
12-3366	2ABF2
12-3372	2AD73
12-3374	2AD74
12-342E	2AD6E
12-3434	2AE14
12-3439	2AE11
12-343E	2AE12
12-3447	2AE13
12-344B	2AE16
12-3453	2AEA7
12-3458	2AED1
12-345A	2AED2
12-345F	2AED3
12-3461	2AECE
12-3469	2AED4
12-346C	2AECF
12-3470	2AF33
12-3525	2AFA0
12-3530	2B000
12-3535	2B003
12-3549	2B0B1
12-354E	2B0DB
12-3550	2B140
12-3558	2B180
12-3566	2B1D4
12-356E	2B1EB
12-356F	2B1EC
12-3577	2B2A4
12-3623	2B385
12-3625	2B420
12-362C	2B421
12-3632	2B45A
12-3642	2B53C
12-364E	2A704
12-365C	2A781
12-365D	2A70D
12-3725	2A742
12-372D	2A740
12-3747	2A73B
12-3768	2A79F
12-376D	2AC81
12-3770	2A7A1
12-3833	2A7EF
12-3841	2A802
12-3848	2A807
12-384A	2A808
12-3852	2A81C
12-3857	2A82A
12-385D	2A829
12-3866	2A842
12-386A	2A83C
12-3878	2A83A
12-3879	2A83E
12-3924	2A8CF
12-392B	2A8CB
12-392C	2A8CE
12-3939	2A8D0
12-393B	2A8D4
12-393E	2A8D3
12-394A	2A939
12-3953	2A94D
12-396C	2A971
12-396E	2A975
12-3971	2A973
12-3A2D	2A974
12-3A32	2A9BB
12-3A3E	2A9CA
12-3A4D	2AA31
12-3A53	2AA30
12-3A57	2AA2F
12-3A59	2AA32
12-3A6A	2AA33
12-3A6B	2AA62
12-3B23	2AA90
12-3B28	2AAB5
12-3B2E	2AABD
12-3B33	2AAC8
12-3B45	2AAEB
12-3B46	2AAF4
12-3B48	2AAED
12-3B4B	2AAEE
12-3B4F	2AAF2
12-3B51	2AAE9
12-3B61	2AB4C
12-3B67	2AB70
12-3B6F	2AB6D
12-3B72	2AB72
12-3C30	2ABC9
12-3C34	2ABE3
12-3C3A	2AF4C
12-3C42	2ABF4
12-3C4A	2AC0F
12-3C4E	2AC10
12-3C59	2AC15
12-3C61	2AC16
12-3C62	2AC14
12-3C66	2AC11
12-3C6D	2AC18
12-3C77	2B199
12-3D24	2AC7D
12-3D2B	2AC7E
12-3D34	2AC7A
12-3D39	2AC7F
12-3D43	2AC7B
12-3D47	2AC7C
12-3D6A	2AD59
12-3D79	2AD7D
12-3E2A	2AD77
12-3E2B	2AD75
12-3E2D	2AD7B
12-3E31	2AD7A
12-3E36	2A7DC
12-3E53	2AE18
12-3E54	2AE1C
12-3E5E	2AE19
12-3E69	2AE1E
12-3E78	2AE21
12-3E7A	2AE8E
12-3F3B	2AED6
12-3F46	2AED5
12-3F60	2AF49
12-3F6A	2AF7C
12-3F6B	2AF7B
12-4023	2AF8A
12-402D	2AFA5
12-403B	2AFC6
12-403C	2AFC9
12-4045	2AFD1
